Masyarakat	^masyarakat<n>_NSD$
lainnya	^lainnya<d>_D--$
Informasi	^informasi<n>_NSD$
dikumpulkan	^di+kumpul<v>+kan_VSP$
tim	^tim<n>_NSD$
data	^data<n>_NSD$
Ada	^ada<a>_ASP$
tambahan	^tambah<v>+an_NSD$
lipsus	^lipsus<x>_X--$
(liputan	^(liputan<x>_X--$
khusus),	^khusus),<x>_X--$
mencari	^meN+cari<v>_VSA/meN+car<f>+i_VSA$
detail	^detail<n>_NSD$
jelasnya	^jelas<a>_ASP+dia<p>_PS3$
aplikasi	^aplikasi<n>_NSD$
pengguna	^peN+guna<n>_NSD$
berinteraksi	^ber+interaksi<n>_VSA$
caleg	^caleg<x>_X--$
meninggalkan	^meN+tinggal<v>+kan_VSA$
pesan	^pesan<n>_NSD$
kolom	^kolom<n>_NSD$
komentar	^komentar<n>_NSD$
komentar	^komentar<n>_NSD$
langsung	^langsung<a>_ASP/langsung<d>_D--$
terkoneksi	^ter+koneksi<n>_VSP$
media	^media<n>_NSD$
sosial	^sosial<n>_NSD$
(medsos)	^<x>_X--$
caleg	^caleg<x>_X--$
caleg	^caleg<x>_X--$
tingkat	^tingkat<n>_NSD$
masuk	^masuk<v>_VSA$
ke depan	^ke<r>_R--$ ^depan<r>_R--$
caleg	^caleg<x>_X--$
dimasukkan	^di+masuk<v>+kan_VSP$
Herman	^herman<f>_F--$
mengaku	^meN+aku<v>_VSA/meN+a<f>_VSA+aku<p>_PS1/meN+kaku<a>_VSA$
penciptaan	^peN+cipta<v>+an_NSD$
aplikasi	^aplikasi<n>_NSD$
Motivasi	^motivasi<n>_NSD$
pembuatan	^peN+buat<v>+an_NSD$
aplikasi	^aplikasi<n>_NSD$
pemilih	^peN+pilih<v>_NSD$
terutama	^ter+utama<a>_ASS$
kalangan	^kalangan<n>_NSD$
mempelajari	^meN+pelajar<n>+i_VSA$
caleg	^caleg<x>_X--$
dipilih	^di+pilih<v>_VSP$
Harapannya	^harap<v>+an_NSD+dia<p>_PS3$
anggota	^anggota<n>_NSD$
terpilih	^ter+pilih<v>_VSP$
berkualitas	^ber+kualitas<n>_VSA$
(pemilih)	^<x>_X--$
mempelajari	^meN+pelajar<n>+i_VSA$
dulu	^dulu<d>_D--$
profilnya	^profil<n>_NSD+dia<p>_PS3$
bebernya	^beber<v>_VSA+dia<p>_PS3$
di-launching	^dilaunching<x>_X--$
awal	^awal<n>_NSD$
kini	^kini<d>_D--$
aplikasi	^aplikasi<n>_NSD$
diunduh	^di+unduh<v>_VSP$
pengguna	^peN+guna<n>_NSD$
